publishedAt,authorDisplayName,textDisplay,likeCount
2023-05-10T00:49:52Z,Anwar Bey,"ganjar vs prabowo...Insyaalah ANIES YG MENANG JADI PTESIDEN 2024, ngak percaya  nanti kita buktikan.",0
2023-05-09T13:44:06Z,EKO DWI SAPUTRO,yg jadi RI 1 terserah Ganjar atau prabowo.. yg penting bukan anies,0
2023-05-09T10:56:37Z,Yana Sihombing,Sy dan keluarga mendukung Pak Prabowo Subianto dan Pak Mahfud MD Sebagai Presiden dan wakil presiden RI 2024,0
2023-05-09T10:20:02Z,Restu Wijaya,Ri 1<br>Prabowo,1
2023-05-09T10:19:35Z,Restu Wijaya,Prabowo bravo,1
2023-05-09T10:03:56Z,Mohamad samsul Huda,Capres prabowo dan ganjar sama sama akan kalah bila harus berhadapan dg bp anies,0
2023-05-09T09:55:08Z,Muhammad Sutar alfatih,anis yessssd,0
2023-05-09T09:43:00Z,Nur Rokhmi,Ya  Ganjar  RI 1   Amminnn ya Robb al &#39;alamin selamat dan sukses,0
2023-05-09T10:20:27Z,Restu Wijaya,No<br>Prabowo Ri 1,0
2023-05-09T09:36:26Z,tati Salehati,Sispapin capres yg diusung jokowi disurvey pasti no1.,0
2023-05-09T09:35:07Z,tati Salehati,"Suka2 tukang survey, ko ga ada malunya berbulan bulan ngunggulin Ganjar selalu no1.Giliran ganhar di take over megawati langsung berubah yg diunggulkan sekarang prabowo.ketauan bangat survey abal2nya.",1
2023-05-09T09:28:12Z,tati Salehati,Kalo Anis dibawah kenapa Anis terus dijegak? Jsngsn sampe hasil survey buat prmbrnaram hasil kecurangan.,1
2023-05-09T09:21:27Z,Saipul Anwar,Gak ada yg unggul...<br>Sama sama mati kartu...<br>Buang jauh jauh kelaut...,1
2023-05-09T09:07:47Z,Naya Sunandar,Keren pa prabowo,1
2023-05-09T08:56:26Z,Cipta Hendrawan,Ganjar calon presiden yang amoral karena hobi bokep,0
2023-05-09T08:55:10Z,Cipta Hendrawan,Ganjar jadi pr,0
2023-05-09T08:39:16Z,Sulaiman Vivo,Anies ya..,1
2023-05-09T08:36:21Z,nius antonius,prabowo 100,1
2023-05-09T07:48:32Z,Mesin Obras,Ya anis...,1
2023-05-09T07:47:04Z,wayan narayasa,Gimina kabar fadli zon?,0
2023-05-09T07:46:33Z,Sri Subi yanti,Anis wapresnya Roky gerung <br>Jooos kui <br>Pasangan serasi <br>ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…ðŸ˜…,0
2023-05-09T07:32:57Z,bebyqueen mv lirik,"Ganjar Pranowo akan menang dan jadi RI 1 tahun 2024  kita lihat saja nanti , orang uragan tak bisa jadi presiden seperti Prabowo orangnya emosinya tinggi !",1
2023-05-09T08:55:16Z,Yusuf Randa,MImpi,0
2023-05-09T07:32:45Z,joni iskandar,Ya. Anis.,1
2023-05-09T09:56:21Z,Muhammad Sutar alfatih,insyaallah saudaraku,0
2023-05-09T08:04:31Z,joni iskandar,Insyallah. Kita. Hrs. Yakin.. Ada. Allah.,0
2023-05-09T07:43:47Z,Bowo Rumekso,Eaaa....eeaaaa LSI dijadikan rujukan ðŸ˜‚ðŸ˜‚,0
